usernames,post_captions,like_counts,comments_counts,comments_content,comment_user,types,id,post_lang,comment_lang
tobysestatekw,"Colombian single origin for espresso it has a flavor raspberry, kiwi, and honeycomb 🇨🇴",-1,1,have ice box ice tea ?,rm.7.70,GraphImage,2336976563337619533,en,en
tobysestatekw,"Start your day with a Brazilian rounded body with sweet finish filter coffee!🇧🇷
You prefer V60 or Aeropress?",-1,1,V60 all day everyday ❤️,hhammoud78,GraphImage,2336937939720047894,en,en
tobysestatekw,Available at @trolley_kw,-1,4,للساعة جم مبطلين؟,xghadah1,GraphImage,2336427148210196294,en,ar
tobysestatekw,Available at @trolley_kw,-1,4,@xghadah1 6 pm,tobysestatekw,GraphImage,2336427148210196294,en,en
tobysestatekw,Available at @trolley_kw,-1,4,😍🔥😍🔥,kuwaiti_coffee,GraphImage,2336427148210196294,en,Emjoi or No Caption
tobysestatekw,Available at @trolley_kw,-1,4,الحب الحب الشوء الشوء🔥❤️,shortcake.kw,GraphImage,2336427148210196294,en,ar
tobysestatekw,متوفرين في ترولي @trolley_kw,-1,11,خدمة فرع شرق اسوء خدمه دفعت و مشيت من غير لا استلم طلبي 👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼,faw_936,GraphImage,2336373340792773914,ar,ar
tobysestatekw,متوفرين في ترولي @trolley_kw,-1,11,توصلون العارضية ؟,mesharie7,GraphImage,2336373340792773914,ar,ar
tobysestatekw,متوفرين في ترولي @trolley_kw,-1,11,لي متى فرع شويخ مفتوح,m7mdalghanim,GraphImage,2336373340792773914,ar,ar
tobysestatekw,متوفرين في ترولي @trolley_kw,-1,11,@faw_936 الرجاء الرد علينا بالخاص,tobysestatekw,GraphImage,2336373340792773914,ar,ar
tobysestatekw,متوفرين في ترولي @trolley_kw,-1,11,@m7mdalghanim لي ٦ مساءً,tobysestatekw,GraphImage,2336373340792773914,ar,ar
tobysestatekw,متوفرين في ترولي @trolley_kw,-1,11,@mesharie7 للأسف في الوقت الحالي لأ.,tobysestatekw,GraphImage,2336373340792773914,ar,ar
tobysestatekw,متوفرين في ترولي @trolley_kw,-1,11,احلى قهوة والله ❤️💕,gamar__83,GraphImage,2336373340792773914,ar,ar
tobysestatekw,متوفرين في ترولي @trolley_kw,-1,11,بعد البحر تشربونه يرد الروووح🔥🔥🔥🔥,analfadhli_x,GraphImage,2336373340792773914,ar,ar
tobysestatekw,متوفرين في ترولي @trolley_kw,-1,11,الللللللللللللللله😭🤲🏽💙,dee.27,GraphImage,2336373340792773914,ar,sd
tobysestatekw,متوفرين في ترولي @trolley_kw,-1,11,🔥🔥🔥👏,bobdair1985,GraphImage,2336373340792773914,ar,Emjoi or No Caption
tobysestatekw,متوفرين في ترولي @trolley_kw,-1,11,في بالخالدية,lshehab_studio,GraphImage,2336373340792773914,ar,ar
tobysestatekw,"كولد برو ولا توبيز لاتي ؟ 
متوفرين في @trolley_kw",-1,10,توفرون بترولي لاتية almond milk ا و coconut milk ؟,calisthenics965,GraphImage,2336310757196947429,ar,ar
tobysestatekw,"كولد برو ولا توبيز لاتي ؟ 
متوفرين في @trolley_kw",-1,10,توبيز لاتي👍🏼❤️,clickit_pro,GraphImage,2336310757196947429,ar,sd
tobysestatekw,"كولد برو ولا توبيز لاتي ؟ 
متوفرين في @trolley_kw",-1,10,توبيز لاتيه🔥🔥,shooqalkhatlan,GraphImage,2336310757196947429,ar,ar
tobysestatekw,"كولد برو ولا توبيز لاتي ؟ 
متوفرين في @trolley_kw",-1,10,توبيييز لاتيه🤍🤍,realotaibi__,GraphImage,2336310757196947429,ar,psar
